Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Los Angeles, California, United States",[],0,[],0,[],0
"St Louis, Missouri, United States",[],0,[],0,[],0
"Paterson, New Jersey, United States",[],0,[],0,[],0
"São Paulo, Sao Paulo, Brazil",[],0,[],0,[],0
"Windsor, Ontario, Canada",[],0,[],0,[],0
"Newcastle Upon Tyne, Newcastle upon Tyne, United Kingdom",[],0,[],0,[],0
"Waukesha, Wisconsin, United States",[],0,[],0,[],0
"Milwaukee, Wisconsin, United States",[],0,[],0,[],0
"Salt Lake City, Utah, United States",[],0,[],0,[],0
"Edinburgh, Edinburgh, City of, United Kingdom",[],0,[],0,[],0
"Baltimore, Maryland, United States",[],0,[],0,[],0
"Boise, Idaho, United States",[],0,[],0,[],0
"Huntington, West Virginia, United States",[],0,[],0,[],0
"Clemson, South Carolina, United States",[],0,[],0,[],0
"Atlanta, Georgia, United States",[],0,[],0,[],0
"Rochester, New York, United States",[],0,[],0,[],0
"Saint Catharines, Ontario, Canada",[],0,[],0,[],0
"Ames, Iowa, United States",[],0,[],0,[],0
"Indianapolis, Indiana, United States",[],0,[],0,[],0
"Burlington, Vermont, United States",[],0,[],0,[],0
"Houston, Texas, United States",[],0,[],0,[],0
"Houston, Texas, United States",[],0,[],0,[],0
"New York, New York, United States",[],0,[],0,[],0
"Waco, Texas, United States",[],0,[],0,[],0
"Troy, New York, United States",[],0,[],0,[],0
"São Paulo, Sao Paulo, Brazil",[],0,[],0,[],0
"Amherst, Massachusetts, United States",[],0,[],0,[],0
"Canterbury, Kent, United Kingdom",[],0,[],0,[],0
"Northridge, California, United States",[],0,[],0,[],0
"Rehovot, HaMerkaz, Israel",[],0,[],0,[],0
"Calgary, Alberta, Canada",[],0,[],0,[],0
"Lyndonville, New York, United States",[],0,[],0,[],0
"Orange, California, United States",[],0,[],0,[],0
"Villanova, Pennsylvania, United States",[],0,[],0,[],0
"Paris, Ile-de-France, France","[de, -]",2,[],0,[],0
"Fresno, California, United States",[],0,[],0,[],0
"Philadelphia, Pennsylvania, United States",[],0,[],0,[],0
"Fredericton, New Brunswick, Canada",[],0,[],0,[],0
"Greencastle, Indiana, United States",[],0,[],0,[],0
"Dallas, Texas, United States",[],0,[],0,[],0
"Melbourne, Victoria, Australia",[],0,[],0,[],0
"Valparaiso, Indiana, United States",[],0,[],0,[],0
"Conway, Arkansas, United States",[],0,[],0,[],0
"Oshkosh, Wisconsin, United States",[],0,[],0,[],0
"Blackwood, New Jersey, United States",[],0,[],0,[],0
"Baltimore, Maryland, United States",[],0,[],0,[],0
"Atlanta, Georgia, United States",[],0,[],0,[],0
"Cincinnati, Ohio, United States",[],0,[],0,[],0
"Denton, Texas, United States",[],0,[],0,[],0
"Newark, Delaware, United States",[],0,[],0,[],0
"Nashville, Tennessee, United States",[],0,[],0,[],0
"Bristol, Bristol, City of, United Kingdom",[],0,[],0,[],0
"Thiruvananthapuram, Kerala, India",[],0,[],0,[],0
"Toronto, Ontario, Canada",[],0,[],0,[],0
"Washington, District of Columbia, United States",[],0,[],0,[],0
"Golden, Colorado, United States",[],0,[],0,[],0
"Taguig, Rizal, Philippines",[],0,[],0,[],0
"Annandale, Virginia, United States",[],0,[],0,[],0
"Vincennes, Indiana, United States",[Vincennes],1,[],0,[],0
