Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Tiger Global Management,Global,3,1,6,Global,PROPN,NNP,compound,Xxxxx,0.0
Tiger Global Management,Management,3,1,10,Management,PROPN,NNP,ROOT,Xxxxx,0.0
Index Ventures,Index,2,1,5,index,NOUN,NN,compound,Xxxxx,0.0
Index Ventures,Ventures,2,1,8,Ventures,PROPN,NNPS,ROOT,Xxxxx,0.0
Khosla Ventures,Khosla,2,1,6,Khosla,PROPN,NNP,compound,Xxxxx,0.0
Khosla Ventures,Ventures,2,1,8,Ventures,PROPN,NNPS,ROOT,Xxxxx,0.0
NYSERDA,NYSERDA,1,1,7,nyserda,NOUN,NN,ROOT,XXXX,0.0
GV,GV,1,1,2,GV,PROPN,NNP,ROOT,XX,0.0
Insight Partners,Insight,2,1,7,Insight,PROPN,NNP,compound,Xxxxx,0.0
Insight Partners,Partners,2,1,8,Partners,PROPN,NNPS,ROOT,Xxxxx,0.0
Sequoia Capital China,Sequoia,3,1,7,Sequoia,PROPN,NNP,compound,Xxxxx,0.0
Sequoia Capital China,Capital,3,1,7,Capital,PROPN,NNP,compound,Xxxxx,0.0
Sequoia Capital China,China,3,1,5,China,PROPN,NNP,ROOT,Xxxxx,0.0
Goldman Sachs,Goldman,2,1,7,Goldman,PROPN,NNP,compound,Xxxxx,0.0
Goldman Sachs,Sachs,2,1,5,Sachs,PROPN,NNP,ROOT,Xxxxx,0.0
Start-Up Chile,Start,2,1,5,start,VERB,VB,amod,Xxxxx,0.0
Start-Up Chile,-,2,1,1,-,PUNCT,HYPH,punct,-,0.0
Start-Up Chile,Up,2,1,2,up,ADP,RP,prt,Xx,0.0
Start-Up Chile,Chile,2,1,5,Chile,PROPN,NNP,ROOT,Xxxxx,0.0
Bpifrance,Bpifrance,1,1,9,bpifrance,NOUN,NN,ROOT,Xxxxx,0.0
Threshold,Threshold,1,1,9,threshold,NOUN,NN,ROOT,Xxxxx,0.0
Global Founders Capital,Global,3,1,6,Global,PROPN,NNP,compound,Xxxxx,0.0
Global Founders Capital,Founders,3,1,8,Founders,PROPN,NNP,compound,Xxxxx,0.0
Global Founders Capital,Capital,3,1,7,Capital,PROPN,NNP,ROOT,Xxxxx,0.0
First Round Capital,First,3,1,5,First,PROPN,NNP,compound,Xxxxx,0.0
First Round Capital,Round,3,1,5,Round,PROPN,NNP,compound,Xxxxx,0.0
First Round Capital,Capital,3,1,7,Capital,PROPN,NNP,ROOT,Xxxxx,0.0
GGV Capital,GGV,2,1,3,GGV,PROPN,NNP,compound,XXX,0.0
GGV Capital,Capital,2,1,7,capital,NOUN,NN,ROOT,Xxxxx,0.0
Norwest Venture Partners,Norwest,3,1,7,Norwest,PROPN,NNP,compound,Xxxxx,0.0
Norwest Venture Partners,Venture,3,1,7,Venture,PROPN,NNP,compound,Xxxxx,0.0
Norwest Venture Partners,Partners,3,1,8,Partners,PROPN,NNPS,ROOT,Xxxxx,0.0
Greylock,Greylock,1,1,8,greylock,NOUN,NN,ROOT,Xxxxx,0.0
Battery Ventures,Battery,2,1,7,Battery,PROPN,NNP,compound,Xxxxx,0.0
Battery Ventures,Ventures,2,1,8,Ventures,PROPN,NNPS,ROOT,Xxxxx,0.0
Silicon Valley Bank,Silicon,3,1,7,Silicon,PROPN,NNP,compound,Xxxxx,0.0
Silicon Valley Bank,Valley,3,1,6,Valley,PROPN,NNP,compound,Xxxxx,0.0
Silicon Valley Bank,Bank,3,1,4,Bank,PROPN,NNP,ROOT,Xxxx,0.0
Founders Fund,Founders,2,1,8,Founders,PROPN,NNP,compound,Xxxxx,0.0
Founders Fund,Fund,2,1,4,Fund,PROPN,NNP,ROOT,Xxxx,0.0
Qiming Venture Partners,Qiming,3,1,6,Qiming,PROPN,NNP,compound,Xxxxx,0.0
Qiming Venture Partners,Venture,3,1,7,Venture,PROPN,NNP,compound,Xxxxx,0.0
Qiming Venture Partners,Partners,3,1,8,Partners,PROPN,NNPS,ROOT,Xxxxx,0.0
Venrock,Venrock,1,1,7,venrock,NOUN,NN,ROOT,Xxxxx,0.0
ZhenFund,ZhenFund,1,1,8,zhenfund,NOUN,NN,ROOT,XxxxXxxx,0.0
High-Tech Grunderfonds,High,2,1,4,high,ADJ,JJ,amod,Xxxx,0.0
High-Tech Grunderfonds,-,2,1,1,-,PUNCT,HYPH,punct,-,0.0
High-Tech Grunderfonds,Tech,2,1,4,Tech,PROPN,NNP,compound,Xxxx,0.0
High-Tech Grunderfonds,Grunderfonds,2,1,12,grunderfond,NOUN,NNS,ROOT,Xxxxx,0.0
Hiventures,Hiventures,1,1,10,hiventure,NOUN,NNS,ROOT,Xxxxx,0.0
Creative Destruction Lab (CDL),Creative,4,1,8,creative,ADJ,JJ,amod,Xxxxx,0.0
Creative Destruction Lab (CDL),Destruction,4,1,11,Destruction,PROPN,NNP,compound,Xxxxx,0.0
Creative Destruction Lab (CDL),Lab,4,1,3,Lab,PROPN,NNP,ROOT,Xxx,0.0
Creative Destruction Lab (CDL),(,4,1,1,(,PUNCT,-LRB-,punct,(,0.0
Creative Destruction Lab (CDL),CDL,4,1,3,CDL,PROPN,NNP,appos,XXX,0.0
Creative Destruction Lab (CDL),),4,1,1,),PUNCT,-RRB-,punct,),0.0
Greycroft,Greycroft,1,1,9,Greycroft,PROPN,NNP,ROOT,Xxxxx,0.0
Canaan Partners,Canaan,2,1,6,Canaan,PROPN,NNP,compound,Xxxxx,0.0
Canaan Partners,Partners,2,1,8,Partners,PROPN,NNPS,ROOT,Xxxxx,0.0
Menlo Ventures,Menlo,2,1,5,Menlo,PROPN,NNP,compound,Xxxxx,0.0
Menlo Ventures,Ventures,2,1,8,Ventures,PROPN,NNPS,ROOT,Xxxxx,0.0
Sand Hill Angels,Sand,3,1,4,Sand,PROPN,NNP,compound,Xxxx,0.0
Sand Hill Angels,Hill,3,1,4,Hill,PROPN,NNP,compound,Xxxx,0.0
Sand Hill Angels,Angels,3,1,6,Angels,PROPN,NNPS,ROOT,Xxxxx,0.0
Tencent,Tencent,1,1,7,tencent,NOUN,NN,ROOT,Xxxxx,0.0
Redpoint,Redpoint,1,1,8,redpoint,NOUN,NN,ROOT,Xxxxx,0.0
Crowdcube,Crowdcube,1,1,9,Crowdcube,PROPN,NNP,ROOT,Xxxxx,0.0
Maine Technology Institute,Maine,3,1,5,Maine,PROPN,NNP,compound,Xxxxx,0.0
Maine Technology Institute,Technology,3,1,10,Technology,PROPN,NNP,compound,Xxxxx,0.0
