Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
"Alexis Ohanian, Garry Tan, Harjeet Taggar",[],0,[],0,[],0
Eyal Rabinovich,[],0,[],0,[],0
"Albert Ko, Aleksa Mitrović, Chizoba Anyaoha, Dilan Mizrakli Landgraff, Fridtjof Berge, Jay Gambaccini, Joe Benjamin, Joel Fredman Klockar, Jussi Salovaara, Magnus Grimeland, Michael Wendland, Nitin Sharma, Peter Barba, Sjoerd Geurts, Teo Ortega, Vegard Medbo",[],0,[],0,[],0
Paul E. Jacobs,[],0,[],0,[],0
Yasuhiko Yurimoto,[],0,[],0,[],0
Simon Thompson,[],0,[],0,[],0
Noel Fenton,[],0,[],0,[],0
Caroline Winnett,[],0,[],0,[],0
"Ben Gilbert, Gerald Grinstein, Greg Gottesman, Paul Goodrich, Tom Alberg, William Ruckelshaus",[],0,[],0,[],0
"Andy Palmer, Anthony Goldbloom, Bill Trenchard, Caterina Fake, Chris Dixon, Dan Sommer, David Frankel, Elliot Cohen, Eric Paley, Jack Groetzinger, James Tamplin, Micah Rosenbloom, Nadia Boujarwah, Noah Glass, Noah Jessop, Parul Singh, Raj De Datta, Zach Klein",[],0,[],0,[],0
"Jonathan Heiliger, Yoram Oron",[],0,[],0,[],0
"Matthew Ocko, Zachary Bogue",[],0,[],0,[],0
Kirill Varlamov,[],0,[],0,[],0
Junichi Masuda,[],0,[],0,[],0
"Eric M. Warburg, Lionel I. Pincus",[],0,[],0,[],0
Andrew Boszhardt Jr.,[],0,[],0,[],0
Jason Calacanis,[],0,[],0,[],0
"Eric Chin, Michael Stark, Sy Kaufman",[],0,[],0,[],0
William Lohse,[],0,[],0,[],0
"Jun Lei, Tuck Lye Koh",[],0,[],0,[],0
"Clinton Bybee, Keith Crandell, Robert Nelsen, Steven Lazarus",[],0,[],0,[],0
"Fritz Lanman, Hank Vigil",[],0,[],0,[],0
"Gene Barth, Scott Hedrick, Wally Hawley",[],0,[],0,[],0
"Akio Tanaka, Andreas Haug, Christian Leybold, Mathias Schilling, Thomas Gieselmann",[],0,[],0,[],0
"Ashley Carroll, Chamath Palihapitiya, Mamoon Hamid, Ted Maidenberg",[],0,[],0,[],0
"Gregory Avis, Roe Stamps, Stephen Woodsum",[],0,[],0,[],0
"Bill Geary, Doug Kingsley, Ed Anderson, Karen Keaney, Mike Pehl, Richard D'Amore",[],0,[],0,[],0
Christophe Baviere,[],0,[],0,[],0
"Josh Wolfe, Peter Hebert, Rob Paull",[],0,[],0,[],0
"Ben Li, Zhang Lei",[],0,[],0,[],0
Masayoshi Son,[],0,[],0,[],0
"Jason Pressman, Ravi Mohan, Rob Coneybeer, Tod Francis",[],0,[],0,[],0
Chuck Feeney,[],0,[],0,[],0
Andrew Edward,[],0,[],0,[],0
Ed Glassmeyer,[],0,[],0,[],0
"Feng Deng, Jeffrey Lee, Yan Ke",[],0,[],0,[],0
"Brad Burnham, Fred Wilson",[],0,[],0,[],0
Nengguang Wang,[],0,[],0,[],0
"Andrew Ryan, Nihar Patel, MBA, J.D., LLM, Travis Brodeen",[],0,[],0,[],0
"Jay Hoag, Rick Kimball",[],0,[],0,[],0
"Chip Hazard, Jeff Bussgang, Michael Greeley",[],0,[],0,[],0
"Joe Aragona, Ken DeAngelis",[],0,[],0,[],0
Jeff Clavier,[],0,[],0,[],0
"Steve Lebow, Steven Dietz, Yves Sisteron",[Sisteron],1,[],0,[],0
Stephen Page,[],0,[],0,[],0
Lars Langusch,[Lars],1,[],0,[],0
"Andrea T. Orlando, Cristobal Alonso, Herty Tammo, Jon Bradford, Mike Reiner",[],0,[],0,[],0
Peter Wendell,[],0,[],0,[],0
Stephen Welton,[],0,[],0,[],0
"David Bookspan, Elliot Menschik, Michael Levinson, Steve Welch",[],0,[],0,[],0
Ron Swenson,[],0,[],0,[],0
Andrew Yan,[],0,[],0,[],0
"Brad Feld, David Brown, David Cohen",[],0,[],0,[],0
"Arvind Gupta, Bill Liao, Sean O'Sullivan",[],0,[],0,[],0
"Alex Kolicich, Drew Oetting, Jake Medwell, Joe Lonsdale, Kimmy Scotti",[],0,[],0,[],0
Philippe Laffont,[],0,[],0,[],0
"Richard Lim, Sonny Wu",[],0,[],0,[],0
Reid Dennis,[],0,[],0,[],0
"Daniel Keiper-Knorr, Erik Bovee, Michael Schuster, Oliver Holle, Werner Zahnt",[],0,[],0,[],0
"Ann Miura-Ko, Mike Maples Jr",[],0,[],0,[],0
"Alice Bentinck, Ashish Jerry Justin, Claire Trant, Deepak Malhotra, Elizabeth Chan, Matt Clifford, Odero Otieno, Peter Farbey, Raffaele Colella, Rytis Jakubauskas",[],0,[],0,[],0
"Barbara Lubash, Brian Atwood, Donald B. Milder, Rebecca Robertson, Samuel Colella, William J. Link, William Link",[],0,[],0,[],0
"Andrew Castell, Paul Atkinson, Paul Munn, Robert Higginson",[],0,[],0,[],0
David Morgenthaler,[],0,[],0,[],0
"Robin Klein, Saul Klein",[],0,[],0,[],0
"John Frankel, Mariusz Adamski",[],0,[],0,[],0
"Brad Feld, Jason Mendelson, Ryan McIntyre, Seth Levine",[],0,[],0,[],0
"Steven Krein, Unity Stoakes",[Stoakes],1,[],0,[],0
"Amish Jani, Gerald Poch, Lawrence Lenihan, Rick Heitzmann",[],0,[],0,[],0
"Pam Omidyar, Pierre Omidyar",[],0,[],0,[],0
"Aharon Dovrat, Chemi Peres, Habib Hazzan, Rami Kalish",[],0,[],0,[],0
Tim Draper,[],0,[],0,[],0
"Anuj Khandelwal, Cameron Teitelman, Christopher Morace, Dan Ha, Jonathan Golden, Juan Vera, Karen Katz, Katie Fo, Matt Man, Richard Rabbat, Steve Petersen",[],0,[],0,[],0
"David Coats, Trevor Kienzle",[],0,[],0,[],0
"Christopher Lynch, Jeff Fagnan, Jon Karlen, Ryan Moore",[],0,[],0,[],0
Igor Ryabenkiy,[],0,[],0,[],0
"Charlie Kemper, Jonathan Axelrod, Murat Aktihanoglu",[],0,[],0,[],0
"Hua Wang, Lee Kai-Fu",[],0,[],0,[],0
"Elif Tutuk, Karen (Appleton ) Page, Michael Cardamone, Nick Mehta, Rowan Trollope",[],0,[],0,[],0
"Andreas Weiskam, David Hartwig, Doug Higgins, Jai Das, Nino Marakovic",[],0,[],0,[],0
"Joe Montana, Michael Ma, Mike Miller",[],0,[],0,[],0
"Andrew Frost, Arthur Dantchik",[],0,[],0,[],0
"Andy Sack, Erik Benson, Randall Lucas",[],0,[],0,[],0
"Mike Gordon, Paul Madera, Rob Ward",[],0,[],0,[],0
"Ajay Agrawal, Claudia Hepburn, Pavla Bobosikova, Reza Satchu, Rohan Jacob, Tim Hodgson",[],0,[],0,[],0
"Naren Gupta, Sandeep Singhal, Suvir Sujan",[],0,[],0,[],0
"Gigi Levy Weiss, James Currier, Pete Flint, Stan Chudnovsky",[],0,[],0,[],0
"Frank Artale, John Connors, Jonathan Roberts, Nick Sturiale",[],0,[],0,[],0
"Paul Wythes, William Draper",[],0,[],0,[],0
"Jonathan Medved, Steve Wishner",[],0,[],0,[],0
"Masayoshi Son, Oketani Taku",[],0,[],0,[],0
"Carlos Trenchs Sainz de la Maza, Randy Williams",[],0,[],0,[],0
Joshua Kushner,[],0,[],0,[],0
Thomas Price Jr.,[],0,[],0,[],0
John Malloy,[],0,[],0,[],0
"Bill Davidow, Lawrence G. Mohr Jr.",[],0,[],0,[],0
Jesse I. Treu,[],0,[],0,[],0
Lee Linden,[],0,[],0,[],0
Ken Woody,[],0,[],0,[],0
"Michael Arrington, Patrick Gallagher",[],0,[],0,[],0
"Ross Baird, Sean Foote, Victoria Fram",[],0,[],0,[],0
"Carlos Silva, Jeff Lynn",[],0,[],0,[],0
"Debbie Chang, Li Ka-shing, Solina Chau",[],0,[],0,[],0
Richard Aldrich,[],0,[],0,[],0
Houman Ashrafian,[],0,[],0,[],0
Kiyoshi Ichimura,[],0,[],0,[],0
"Daniel Tomov, Dilyan Dimitrov, Ivaylo Simov, Jon Bradford",[],0,[],0,[],0
"Karthik Reddy, Rob Blum, Sanjay Nath",[],0,[],0,[],0
"Benjamin Wilkening, Cem Sertoglu, Christian Nagel, Hendrik Brandis, Roland Manger, Rolf Mathies",[],0,[],0,[],0
Edward C. Johnson II,[],0,[],0,[],0
Linda Rottenberg,[],0,[],0,[],0
"Daniel A. D'Aniello, David Rubenstein, Shary Moalemzadeh, William E. Conway, Jr.",[],0,[],0,[],0
"Dan Levitan, Howard Schultz",[],0,[],0,[],0
Barry Silbert,[],0,[],0,[],0
Chris Arsenault,[],0,[],0,[],0
"Ansbert Gadicke, Luke Evnin",[],0,[],0,[],0
Jean Deleage,[],0,[],0,[],0
"David Marquardt, John Johnston",[],0,[],0,[],0
"Kate Mitchell, Rory O'Driscoll",[],0,[],0,[],0
Jerry Yang,[],0,[],0,[],0
Teruhide Sato,[],0,[],0,[],0
Jean Deleage,[],0,[],0,[],0
"Alan MacIntosh, Jean-Sebastian Cournoyer, John Stokes",[],0,[],0,[],0
"George R Roberts, Henry Kravis, Jerome Kohlberg, Ken Mehlman, Robert W. Antablin, Scott Nuttall",[],0,[],0,[],0
Nuno Afonso,[],0,[],0,[],0
"Brian Armstrong, Fred Ehrsam",[],0,[],0,[],0
Peter Brooke,[],0,[],0,[],0
"Kazuki Notsu, Keisuke Wada, Masahiko Homma, Tohru Akaura, Yusuke Murata",[],0,[],0,[],0
"Adam Corey, Anne Dwane, Ben Casnocha, Erik Torenberg, Ross Fubini",[],0,[],0,[],0
"Alastair Kilgour, Alun Williams, Enrico D'Angelo, Moray Wright, Neil Cameron",[],0,[],0,[],0
Tsuyoshi Ito,[],0,[],0,[],0
Charles Hipwood,[],0,[],0,[],0
"Han Kim, Ho Nam",[],0,[],0,[],0
"Ken Shi, Richard Liu",[],0,[],0,[],0
"Ara Fernezian, Laurence D. Fink, Robert S. Kapito, Sue Wagner",[],0,[],0,[],0
"Adam Draper, Brayton Williams",[],0,[],0,[],0
"Jean Fougerolles, Kieran Hill",[],0,[],0,[],0
"Cyril Ebersweiler, Sean O'Sullivan",[],0,[],0,[],0
"Amanda Liu, Anita Huang, Holly Harrington, Leroy Yau",[],0,[],0,[],0
"Alan Salzman, Jim Marver",[],0,[],0,[],0
Craig Shapiro,[],0,[],0,[],0
Jimmy Carter,[],0,[],0,[],0
"Nenad Marovac, Steve Schlenker",[],0,[],0,[],0
"Lip-Bu Tan, Roni Hefetz",[],0,[],0,[],0
"Fan Bao, Keyi Chen",[],0,[],0,[],0
