Text,Noun,Number of Nouns,Verb,Number of Verbs,Adjective,Number of Adjectives
Finance Department - Kellogg School of Management,[],0,[],0,[],0
University of Southern California,[],0,[],0,[],0
The University of Texas at Austin,[],0,[],0,[],0
University of Illinois Urbana-Champaign,[],0,[],0,[],0
Reichman University,[],0,[],0,[],0
"University of California, San Diego",[],0,[],0,[],0
ESADE Business School,[],0,[],0,[],0
University of Tartu,[],0,[],0,[],0
Indian Institute of Technology Madras,[],0,[],0,[],0
Massachusetts Institute of Technology,[],0,[],0,[],0
Boston University,[],0,[],0,[],0
Franklin and Marshall College,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
University of Michigan,[],0,[],0,[],0
INSEAD,[],0,[],0,[],0
"University of California, Santa Barbara",[],0,[],0,[],0
University of Glasgow,[],0,[],0,[],0
"Heidelberg University, U.S.",[],0,[],0,[],0
American University of Beirut,[],0,[],0,[],0
Bocconi University,[],0,[],0,[],0
University of Oxford,[],0,[],0,[],0
Wharton School of the University of Pennsylvania,[],0,[],0,[],0
Financial University,[],0,[],0,[],0
"University of California, Los Angeles",[],0,[],0,[],0
Northwestern University,[],0,[],0,[],0
The University of Delhi,[],0,[],0,[],0
Harvard Business School,[],0,[],0,[],0
INSEAD,[],0,[],0,[],0
EDHEC Business School,[],0,[],0,[],0
Cornell University,[],0,[],0,[],0
Bowling Green State University,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
Indian Institute of Technology Kanpur,[],0,[],0,[],0
University of Cambridge,[],0,[],0,[],0
Indian Institute of Technology Bombay (IIT),[],0,[],0,[],0
University of Pennsylvania,[],0,[],0,[],0
INSEAD,[],0,[],0,[],0
Mount Ida College,[],0,[],0,[],0
Tel Aviv University,[],0,[],0,[],0
Finance Department - Kellogg School of Management,[],0,[],0,[],0
University of Pennsylvania,[],0,[],0,[],0
"University of California, Irvine",[],0,[],0,[],0
Santa Clara University,[],0,[],0,[],0
Bowdoin College,[],0,[],0,[],0
Asian Institute of Management,[],0,[],0,[],0
WHU - Otto Beisheim School of Management,[],0,[],0,[],0
The University of Texas at Austin,[],0,[],0,[],0
Yale University,[],0,[],0,[],0
Massachusetts College of Art and Design,[Design],1,[],0,[],0
INSEAD,[],0,[],0,[],0
Columbia University,[],0,[],0,[],0
Cornell University,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
University of California Berkeley,[],0,[],0,[],0
Federal University of Minas Gerais,[],0,[],0,[],0
Skolkovo Moscow School of Management,[],0,[],0,[],0
University of California Berkeley,[],0,[],0,[],0
Marquette University,[],0,[],0,[],0
Cornell University,[],0,[],0,[],0
HaYovel,[],0,[],0,[],0
Richmond upon Thames College,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
Colgate University,[],0,[],0,[],0
Yale University,[],0,[],0,[],0
Harvard Business School,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
University of British Columbia,[],0,[],0,[],0
Rajiv Gandhi Proudyogiki Vishwavidyalaya,[],0,[],0,[],0
NYU Stern School of Business,[],0,[],0,[],0
Indian Institute of Technology Bombay (IIT),[],0,[],0,[],0
University of Alabama,[],0,[],0,[],0
"UC Berkeley, Haas Business School",[],0,[],0,[],0
Wharton School of the University of Pennsylvania,[],0,[],0,[],0
Columbia Business School,[],0,[],0,[],0
Indian Institute of Technology Delhi,[],0,[],0,[],0
University of Houston,[],0,[],0,[],0
City University of New York,[],0,[],0,[],0
Indiana University Bloomington,[],0,[],0,[],0
Santa Clara University,[],0,[],0,[],0
Harvard Business School,[],0,[],0,[],0
University of Pennsylvania,[],0,[],0,[],0
Indian Institute of Management Lucknow,[],0,[],0,[],0
Indian Institute of Technology Kanpur,[],0,[],0,[],0
Ecole Spéciale des Travaux Publics,[],0,[],0,[],0
University of Rochester,[],0,[],0,[],0
Massachusetts Institute of Technology,[],0,[],0,[],0
Portland State University,[],0,[],0,[],0
Stanford Graduate School of Business,[],0,[],0,[],0
Universidad Autónoma de Santo Domingo,[],0,[],0,[],0
"International Institute of Information Technology, Hyderabad (IIIT-H)",[],0,[],0,[],0
Portland State University,[],0,[],0,[],0
University of California Berkeley,[],0,[],0,[],0
Finance Department - Kellogg School of Management,[],0,[],0,[],0
University of Liverpool,[],0,[],0,[],0
University of Tartu,[],0,[],0,[],0
University of North Carolina at Chapel Hill,[],0,[],0,[],0
Purdue University,[],0,[],0,[],0
Federal University of Paraná,[],0,[],0,[],0
National Institutes of Health,[],0,[],0,[],0
"Institute of Business Administration (IBA), University of Dhaka",[],0,[],0,[],0
Fundação Armando Alvares Penteado,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
National Chiao Tung University,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
University of California Berkeley School of Law,[],0,[],0,[],0
Hindu College,[],0,[],0,[],0
University of Pennsylvania,[],0,[],0,[],0
University of St. Gallen,[],0,[],0,[],0
Brown University,[],0,[],0,[],0
London School of Economics and Political Science,[],0,[],0,[],0
NED University of Engineering and Technology,[],0,[],0,[],0
University of Dundee,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
Cornell University,[],0,[],0,[],0
Northeastern University,[],0,[],0,[],0
Rensselaer Polytechnic Institute,[],0,[],0,[],0
Camosun College,[],0,[],0,[],0
University of Warsaw,[],0,[],0,[],0
University of Greifswald,[],0,[],0,[],0
Massachusetts Institute of Technology,[],0,[],0,[],0
Delhi Technological University,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
Baylor University,[],0,[],0,[],0
Davidson College,[],0,[],0,[],0
Harvard Business School,[],0,[],0,[],0
Duke University,[],0,[],0,[],0
Harvard Business School,[],0,[],0,[],0
"University of California, Los Angeles",[],0,[],0,[],0
INSEAD,[],0,[],0,[],0
NYU Stern School of Business,[],0,[],0,[],0
University of New South Wales,[],0,[],0,[],0
Indian Institute of Technology Kanpur,[],0,[],0,[],0
Boston University,[],0,[],0,[],0
Pepperdine University,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
Indian Institute of Technology Kanpur,[],0,[],0,[],0
University of Pennsylvania,[],0,[],0,[],0
Harvard University,[],0,[],0,[],0
Amravati University,[],0,[],0,[],0
Stanford University,[],0,[],0,[],0
University College London (UCL),[],0,[],0,[],0
Massachusetts Institute of Technology,[],0,[],0,[],0
Bishopsgate School,[],0,[],0,[],0
"Shanmugha Arts, Science, Technology &amp; Research Academy",[],0,[],0,[],0
Duke University,[],0,[],0,[],0
University of Oxford,[],0,[],0,[],0
University of Oxford,[],0,[],0,[],0
University of Pennsylvania,[],0,[],0,[],0
University of Washington,[],0,[],0,[],0
Polytechnic School of the University of São Paulo,[],0,[],0,[],0
Georgia Institute of Technology,[],0,[],0,[],0
Massachusetts Institute of Technology,[],0,[],0,[],0
Penn State University,[],0,[],0,[],0
CentraleSupélec,[],0,[],0,[],0
