Text,Token,Start Index,End Index,Entity Label,Knowledge Base ID
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Boyu Capital,0,12,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",GGV Capital,14,25,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Mirae Asset Venture Investment,27,57,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Temasek Holdings,59,75,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",TGV,99,102,ORG,
"Battery Ventures, PSG",Battery Ventures,0,16,ORG,
"Battery Ventures, PSG",PSG,18,21,ORG,
"Collab+Currency, ETFS Capital, Marshall Wace, Quiet Ventures, Valor Equity Partners",ETFS Capital,17,29,ORG,
"Collab+Currency, ETFS Capital, Marshall Wace, Quiet Ventures, Valor Equity Partners",Marshall Wace,31,44,PERSON,
"Collab+Currency, ETFS Capital, Marshall Wace, Quiet Ventures, Valor Equity Partners",Quiet Ventures,46,60,GPE,
"Collab+Currency, ETFS Capital, Marshall Wace, Quiet Ventures, Valor Equity Partners",Valor Equity Partners,62,83,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",9Yards Capital,0,14,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Apollo,29,35,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Binance Labs,37,49,PERSON,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Circle Ventures,51,66,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Coinbase Ventures,68,85,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Dentsu Ventures,87,102,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Franklin Templeton Investments,104,134,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",FTX Ventures,136,148,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Greenoaks Capital,150,167,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Jump Crypto,169,180,PERSON,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Lightspeed Venture Partners,182,209,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",O'Leary Ventures,211,227,ORG,
"9Yards Capital, a16z crypto, Apollo, Binance Labs, Circle Ventures, Coinbase Ventures, Dentsu Ventures, Franklin Templeton Investments, FTX Ventures, Greenoaks Capital, Jump Crypto, Lightspeed Venture Partners, O'Leary Ventures, Sino Global Capital",Sino Global Capital,229,248,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Boyu Capital,0,12,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",GGV Capital,14,25,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Mirae Asset Venture Investment,27,57,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",Temasek Holdings,59,75,ORG,
"Boyu Capital, GGV Capital, Mirae Asset Venture Investment, Temasek Holdings, True Global Ventures (TGV)",TGV,99,102,ORG,
"Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify, Shrug Capital",Coinbase Ventures,0,17,ORG,
"Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify, Shrug Capital",Haun Ventures,19,32,ORG,
"Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify, Shrug Capital",Joseph Lacob,34,46,PERSON,
"Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify, Shrug Capital",Polygon,48,55,GPE,
"Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify, Shrug Capital","Protocol Labs, Shopify,",57,80,ORG,
"Coinbase Ventures, Haun Ventures, Joseph Lacob, Polygon, Protocol Labs, Shopify, Shrug Capital",Shrug Capital,81,94,ORG,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Abhishek Goyal,0,14,PERSON,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",ACE &,16,21,ORG,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Alok Mittal,35,46,PERSON,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Ashish Sharma,48,61,GPE,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Beyond Next Ventures,63,83,ORG,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Das Capital,85,96,ORG,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Goodwater Capital,98,115,ORG,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Niraj Singh,149,160,PERSON,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Nitin Gupta,162,173,PERSON,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Ramakant Sharma,175,190,PERSON,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",SIG,192,195,ORG,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",China,196,201,GPE,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",SIG Asia Investments,203,223,ORG,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Soma Capital,226,238,GPE,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Utsav Somani,240,252,GPE,
"Abhishek Goyal, ACE &amp; Company, Alok Mittal, Ashish Sharma, Beyond Next Ventures, Das Capital, Goodwater Capital, Hauz Khas Ventures, Kunal Shah, Niraj Singh, Nitin Gupta, Ramakant Sharma, SIG China (SIG Asia Investments), Soma Capital, Utsav Somani, Y Combinator",Y Combinator,254,266,PERSON,
"Avenir Growth Capital, Avid Ventures, Bessemer Venture Partners, Canapi Ventures, Felicis Ventures, Lightspeed Venture Partners",Avenir Growth Capital,0,21,ORG,
"Avenir Growth Capital, Avid Ventures, Bessemer Venture Partners, Canapi Ventures, Felicis Ventures, Lightspeed Venture Partners",Avid Ventures,23,36,GPE,
"Avenir Growth Capital, Avid Ventures, Bessemer Venture Partners, Canapi Ventures, Felicis Ventures, Lightspeed Venture Partners",Bessemer Venture Partners,38,63,ORG,
"Avenir Growth Capital, Avid Ventures, Bessemer Venture Partners, Canapi Ventures, Felicis Ventures, Lightspeed Venture Partners",Canapi Ventures,65,80,ORG,
"Avenir Growth Capital, Avid Ventures, Bessemer Venture Partners, Canapi Ventures, Felicis Ventures, Lightspeed Venture Partners",Felicis Ventures,82,98,ORG,
"Avenir Growth Capital, Avid Ventures, Bessemer Venture Partners, Canapi Ventures, Felicis Ventures, Lightspeed Venture Partners",Lightspeed Venture Partners,100,127,ORG,
"Amrish Rau, Atrium Angels, Elevation Capital, General Catalyst, Gokul Rajaram, Jitendra Gupta, Nitin Gupta, Rangarajan Krishnan, Saikiran Krishnamurthy, Whiteboard Capital",Amrish Rau,0,10,PERSON,
"Amrish Rau, Atrium Angels, Elevation Capital, General Catalyst, Gokul Rajaram, Jitendra Gupta, Nitin Gupta, Rangarajan Krishnan, Saikiran Krishnamurthy, Whiteboard Capital",Elevation Capital,27,44,ORG,
"Amrish Rau, Atrium Angels, Elevation Capital, General Catalyst, Gokul Rajaram, Jitendra Gupta, Nitin Gupta, Rangarajan Krishnan, Saikiran Krishnamurthy, Whiteboard Capital",General Catalyst,46,62,ORG,
"Amrish Rau, Atrium Angels, Elevation Capital, General Catalyst, Gokul Rajaram, Jitendra Gupta, Nitin Gupta, Rangarajan Krishnan, Saikiran Krishnamurthy, Whiteboard Capital",Jitendra Gupta,79,93,PERSON,
"Amrish Rau, Atrium Angels, Elevation Capital, General Catalyst, Gokul Rajaram, Jitendra Gupta, Nitin Gupta, Rangarajan Krishnan, Saikiran Krishnamurthy, Whiteboard Capital",Nitin Gupta,95,106,PERSON,
"Amrish Rau, Atrium Angels, Elevation Capital, General Catalyst, Gokul Rajaram, Jitendra Gupta, Nitin Gupta, Rangarajan Krishnan, Saikiran Krishnamurthy, Whiteboard Capital",Rangarajan Krishnan,108,127,GPE,
"Amrish Rau, Atrium Angels, Elevation Capital, General Catalyst, Gokul Rajaram, Jitendra Gupta, Nitin Gupta, Rangarajan Krishnan, Saikiran Krishnamurthy, Whiteboard Capital",Saikiran Krishnamurthy,129,151,PERSON,
"Amrish Rau, Atrium Angels, Elevation Capital, General Catalyst, Gokul Rajaram, Jitendra Gupta, Nitin Gupta, Rangarajan Krishnan, Saikiran Krishnamurthy, Whiteboard Capital",Whiteboard Capital,153,171,PERSON,
"Matrix Partners India, Zephyr Peacock India",India,16,21,GPE,
"Matrix Partners India, Zephyr Peacock India",Zephyr,23,29,GPE,
"Matrix Partners India, Zephyr Peacock India",India,38,43,GPE,
"Dell Technologies Capital, One Peak Partners, Susquehanna Growth Equity, Vertex Growth Fund, Vertex Ventures Israel",Dell Technologies Capital,0,25,ORG,
"Dell Technologies Capital, One Peak Partners, Susquehanna Growth Equity, Vertex Growth Fund, Vertex Ventures Israel",One,27,30,CARDINAL,
"Dell Technologies Capital, One Peak Partners, Susquehanna Growth Equity, Vertex Growth Fund, Vertex Ventures Israel",Susquehanna Growth Equity,46,71,ORG,
"Dell Technologies Capital, One Peak Partners, Susquehanna Growth Equity, Vertex Growth Fund, Vertex Ventures Israel",Vertex Growth Fund,73,91,ORG,
"Dell Technologies Capital, One Peak Partners, Susquehanna Growth Equity, Vertex Growth Fund, Vertex Ventures Israel",Vertex Ventures,93,108,ORG,
"Dell Technologies Capital, One Peak Partners, Susquehanna Growth Equity, Vertex Growth Fund, Vertex Ventures Israel",Israel,109,115,GPE,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",Cavallo Ventures,0,16,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",Eyal Gura,18,27,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",Finistere Ventures,45,63,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",Hitachi Ventures,65,81,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures","iAngels, Inven Capital",83,105,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",K3 Ventures,107,118,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",La Maison Partners,120,138,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",Micron Ventures,140,155,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",OurCrowd,157,165,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",Presidio Ventures,167,184,FAC,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",Seraphim Space,186,200,GPE,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",UMC Capital,202,213,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",Vertex Growth Fund,215,233,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",Vertex Ventures,235,250,ORG,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",Israel,251,257,GPE,
"Cavallo Ventures, Eyal Gura, Farglory Group, Finistere Ventures, Hitachi Ventures, iAngels, Inven Capital, K3 Ventures, La Maison Partners, Micron Ventures, OurCrowd, Presidio Ventures, Seraphim Space, UMC Capital, Vertex Growth Fund, Vertex Ventures Israel, Viola Ventures",Viola Ventures,259,273,ORG,
"Bitcoin Crypto World, Sanabil",Sanabil,22,29,GPE,
"LNM India Internet Ventures, Waverly",LNM India Internet Ventures,0,27,ORG,
"cFund, Input Output Global, Talanton, Verdant Capital, Verdant Frontiers, Women's World Banking",cFund,0,5,ORG,
"cFund, Input Output Global, Talanton, Verdant Capital, Verdant Frontiers, Women's World Banking",Input Output Global,7,26,ORG,
"cFund, Input Output Global, Talanton, Verdant Capital, Verdant Frontiers, Women's World Banking",Verdant Capital,38,53,ORG,
"cFund, Input Output Global, Talanton, Verdant Capital, Verdant Frontiers, Women's World Banking",Verdant Frontiers,55,72,PERSON,
"cFund, Input Output Global, Talanton, Verdant Capital, Verdant Frontiers, Women's World Banking",Women's World Banking,74,95,ORG,
"Alkemi Venture Partners, Global Brain Corporation, iGlobe Partners, Infocom, ITOCHU Corporation, KDV Capital",Venture Partners,7,23,ORG,
"Alkemi Venture Partners, Global Brain Corporation, iGlobe Partners, Infocom, ITOCHU Corporation, KDV Capital",Global Brain Corporation,25,49,ORG,
"Alkemi Venture Partners, Global Brain Corporation, iGlobe Partners, Infocom, ITOCHU Corporation, KDV Capital",iGlobe Partners,51,66,ORG,
"Alkemi Venture Partners, Global Brain Corporation, iGlobe Partners, Infocom, ITOCHU Corporation, KDV Capital",Infocom,68,75,ORG,
"Alkemi Venture Partners, Global Brain Corporation, iGlobe Partners, Infocom, ITOCHU Corporation, KDV Capital",ITOCHU Corporation,77,95,ORG,
"Alkemi Venture Partners, Global Brain Corporation, iGlobe Partners, Infocom, ITOCHU Corporation, KDV Capital",KDV Capital,97,108,ORG,
"Abra, Circle Ventures, Claure Group, Fuse Capital, MGG Investment Group, Motive Partners, ParaFi Capital, Ricardo Marino, Valor Capital Group, Victory Park Capital",Circle Ventures,6,21,ORG,
"Abra, Circle Ventures, Claure Group, Fuse Capital, MGG Investment Group, Motive Partners, ParaFi Capital, Ricardo Marino, Valor Capital Group, Victory Park Capital",Claure Group,23,35,ORG,
"Abra, Circle Ventures, Claure Group, Fuse Capital, MGG Investment Group, Motive Partners, ParaFi Capital, Ricardo Marino, Valor Capital Group, Victory Park Capital",Fuse Capital,37,49,ORG,
"Abra, Circle Ventures, Claure Group, Fuse Capital, MGG Investment Group, Motive Partners, ParaFi Capital, Ricardo Marino, Valor Capital Group, Victory Park Capital",MGG Investment Group,51,71,ORG,
"Abra, Circle Ventures, Claure Group, Fuse Capital, MGG Investment Group, Motive Partners, ParaFi Capital, Ricardo Marino, Valor Capital Group, Victory Park Capital",Motive Partners,73,88,ORG,
"Abra, Circle Ventures, Claure Group, Fuse Capital, MGG Investment Group, Motive Partners, ParaFi Capital, Ricardo Marino, Valor Capital Group, Victory Park Capital",Ricardo Marino,106,120,ORG,
"Abra, Circle Ventures, Claure Group, Fuse Capital, MGG Investment Group, Motive Partners, ParaFi Capital, Ricardo Marino, Valor Capital Group, Victory Park Capital",Valor Capital Group,122,141,ORG,
"Abra, Circle Ventures, Claure Group, Fuse Capital, MGG Investment Group, Motive Partners, ParaFi Capital, Ricardo Marino, Valor Capital Group, Victory Park Capital",Victory Park Capital,143,163,ORG,
"LeapFrog Investments, Novo Holdings, Sofina",LeapFrog Investments,0,20,ORG,
"LeapFrog Investments, Novo Holdings, Sofina",Novo Holdings,22,35,ORG,
"LeapFrog Investments, Novo Holdings, Sofina",Sofina,37,43,GPE,
"Cigna Ventures, Insight Partners, Optum Ventures, Primary Venture Partners, Sound Ventures, Thoma Bravo, Tusk Venture Partners",Cigna Ventures,0,14,ORG,
"Cigna Ventures, Insight Partners, Optum Ventures, Primary Venture Partners, Sound Ventures, Thoma Bravo, Tusk Venture Partners",Insight Partners,16,32,ORG,
"Cigna Ventures, Insight Partners, Optum Ventures, Primary Venture Partners, Sound Ventures, Thoma Bravo, Tusk Venture Partners",Optum Ventures,34,48,ORG,
"Cigna Ventures, Insight Partners, Optum Ventures, Primary Venture Partners, Sound Ventures, Thoma Bravo, Tusk Venture Partners",Primary Venture Partners,50,74,ORG,
"Cigna Ventures, Insight Partners, Optum Ventures, Primary Venture Partners, Sound Ventures, Thoma Bravo, Tusk Venture Partners",Sound Ventures,76,90,ORG,
"Cigna Ventures, Insight Partners, Optum Ventures, Primary Venture Partners, Sound Ventures, Thoma Bravo, Tusk Venture Partners",Thoma Bravo,92,103,ORG,
"Cigna Ventures, Insight Partners, Optum Ventures, Primary Venture Partners, Sound Ventures, Thoma Bravo, Tusk Venture Partners",Tusk Venture Partners,105,126,ORG,
"HBM Healthcare Investments AG, KWE Beteiligungen, MAF Mauritius, MPOF Mauritius, Rubal Jain, Tata Digital, Vardaan Sharma",HBM Healthcare Investments AG,0,29,ORG,
"HBM Healthcare Investments AG, KWE Beteiligungen, MAF Mauritius, MPOF Mauritius, Rubal Jain, Tata Digital, Vardaan Sharma",KWE Beteiligungen,31,48,PERSON,
"HBM Healthcare Investments AG, KWE Beteiligungen, MAF Mauritius, MPOF Mauritius, Rubal Jain, Tata Digital, Vardaan Sharma",MAF Mauritius,50,63,ORG,
"HBM Healthcare Investments AG, KWE Beteiligungen, MAF Mauritius, MPOF Mauritius, Rubal Jain, Tata Digital, Vardaan Sharma",MPOF Mauritius,65,79,ORG,
"HBM Healthcare Investments AG, KWE Beteiligungen, MAF Mauritius, MPOF Mauritius, Rubal Jain, Tata Digital, Vardaan Sharma",Rubal Jain,81,91,ORG,
"HBM Healthcare Investments AG, KWE Beteiligungen, MAF Mauritius, MPOF Mauritius, Rubal Jain, Tata Digital, Vardaan Sharma",Tata Digital,93,105,PERSON,
"HBM Healthcare Investments AG, KWE Beteiligungen, MAF Mauritius, MPOF Mauritius, Rubal Jain, Tata Digital, Vardaan Sharma",Vardaan Sharma,107,121,PERSON,
FTX Ventures,FTX Ventures,0,12,ORG,
"All In Capital, Omnivore, Orios Venture Partners, PointOne Capital, Sujeet Kumar, Titan Capital",Orios Venture Partners,26,48,ORG,
"All In Capital, Omnivore, Orios Venture Partners, PointOne Capital, Sujeet Kumar, Titan Capital",PointOne Capital,50,66,ORG,
"All In Capital, Omnivore, Orios Venture Partners, PointOne Capital, Sujeet Kumar, Titan Capital",Sujeet Kumar,68,80,PERSON,
"All In Capital, Omnivore, Orios Venture Partners, PointOne Capital, Sujeet Kumar, Titan Capital",Titan Capital,82,95,ORG,
"Balderton Capital, Kreos Capital, Oxx",Balderton Capital,0,17,ORG,
"Balderton Capital, Kreos Capital, Oxx",Kreos Capital,19,32,ORG,
"ACE &amp; Company, Be8 Ventures, ETH Zurich Foundation, Gullspång Re:food, L Catterton, Movendo Capital, TEV Ventures, Vorwerk Ventures, Yann Sommer",ACE &,0,5,ORG,
"ACE &amp; Company, Be8 Ventures, ETH Zurich Foundation, Gullspång Re:food, L Catterton, Movendo Capital, TEV Ventures, Vorwerk Ventures, Yann Sommer",Ventures,23,31,ORG,
