Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
Chalfen Ventures,Ventures,2,1,8,Ventures,PROPN,NNPS,ROOT,Xxxxx,0.0
Morningside Venture Partners,Morningside,3,1,11,Morningside,PROPN,NNP,compound,Xxxxx,0.0
Morningside Venture Partners,Venture,3,1,7,Venture,PROPN,NNP,compound,Xxxxx,0.0
Morningside Venture Partners,Partners,3,1,8,Partners,PROPN,NNPS,ROOT,Xxxxx,0.0
Define Ventures,Define,2,1,6,Define,PROPN,NNP,compound,Xxxxx,0.0
Define Ventures,Ventures,2,1,8,Ventures,PROPN,NNPS,ROOT,Xxxxx,0.0
"Base10 Partners, Stardust Equity",Base10,4,1,6,Base10,PROPN,NNP,compound,Xxxxdd,0.0
"Base10 Partners, Stardust Equity",Partners,4,1,8,Partners,PROPN,NNPS,ROOT,Xxxxx,0.0
"Base10 Partners, Stardust Equity",",",4,1,1,",",PUNCT,",",punct,",",0.0
"Base10 Partners, Stardust Equity",Stardust,4,1,8,Stardust,PROPN,NNP,compound,Xxxxx,0.0
"Base10 Partners, Stardust Equity",Equity,4,1,6,Equity,PROPN,NNP,npadvmod,Xxxxx,0.0
"Costanoa Ventures, Foundation Capital, Jump Capital",Costanoa,6,1,8,Costanoa,PROPN,NNP,compound,Xxxxx,0.0
"Costanoa Ventures, Foundation Capital, Jump Capital",Ventures,6,1,8,Ventures,PROPN,NNPS,ROOT,Xxxxx,0.0
"Costanoa Ventures, Foundation Capital, Jump Capital",",",6,1,1,",",PUNCT,",",punct,",",0.0
"Costanoa Ventures, Foundation Capital, Jump Capital",Foundation,6,1,10,Foundation,PROPN,NNP,compound,Xxxxx,0.0
"Costanoa Ventures, Foundation Capital, Jump Capital",Capital,6,1,7,Capital,PROPN,NNP,appos,Xxxxx,0.0
"Costanoa Ventures, Foundation Capital, Jump Capital",Jump,6,1,4,Jump,PROPN,NNP,compound,Xxxx,0.0
"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",AJ,10,1,2,AJ,PROPN,NNP,compound,XX,0.0
"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",Capital,10,1,7,Capital,PROPN,NNP,ROOT,Xxxxx,0.0
"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",",",10,1,1,",",PUNCT,",",punct,",",0.0
"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",Integra,10,1,7,Integra,PROPN,NNP,compound,Xxxxx,0.0
"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",Partners,10,1,8,Partners,PROPN,NNPS,appos,Xxxxx,0.0
"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",Kejora,10,1,6,Kejora,PROPN,NNP,compound,Xxxxx,0.0
"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",Capital,10,1,7,Capital,PROPN,NNP,conj,Xxxxx,0.0
"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",Performa,10,1,8,Performa,PROPN,NNP,compound,Xxxxx,0.0
"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",Investimentos,10,1,13,Investimentos,PROPN,NNP,conj,Xxxxx,0.0
"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",Yuj,10,1,3,Yuj,PROPN,NNP,compound,Xxx,0.0
"AJ Capital, Integra Partners, Kejora Capital, Performa Investimentos, Yuj Ventures",Ventures,10,1,8,Ventures,PROPN,NNPS,appos,Xxxxx,0.0
"BY Venture Partners, Middle East Venture Partners (MEVP)",BY,8,1,2,by,ADP,IN,ROOT,XX,0.0
"BY Venture Partners, Middle East Venture Partners (MEVP)",Venture,8,1,7,Venture,PROPN,NNP,compound,Xxxxx,0.0
"BY Venture Partners, Middle East Venture Partners (MEVP)",Partners,8,1,8,Partners,PROPN,NNPS,pobj,Xxxxx,0.0
"BY Venture Partners, Middle East Venture Partners (MEVP)",",",8,1,1,",",PUNCT,",",punct,",",0.0
"BY Venture Partners, Middle East Venture Partners (MEVP)",Middle,8,1,6,Middle,PROPN,NNP,compound,Xxxxx,0.0
"BY Venture Partners, Middle East Venture Partners (MEVP)",East,8,1,4,East,PROPN,NNP,compound,Xxxx,0.0
"BY Venture Partners, Middle East Venture Partners (MEVP)",Partners,8,1,8,Partners,PROPN,NNPS,appos,Xxxxx,0.0
"BY Venture Partners, Middle East Venture Partners (MEVP)",(,8,1,1,(,PUNCT,-LRB-,punct,(,0.0
"BY Venture Partners, Middle East Venture Partners (MEVP)",MEVP,8,1,4,MEVP,PROPN,NNP,appos,XXXX,0.0
"BY Venture Partners, Middle East Venture Partners (MEVP)",),8,1,1,),PUNCT,-RRB-,punct,),0.0
JAM Fund,JAM,2,1,3,JAM,PROPN,NNP,compound,XXX,0.0
JAM Fund,Fund,2,1,4,Fund,PROPN,NNP,ROOT,Xxxx,0.0
Foresight Group,Foresight,2,1,9,Foresight,PROPN,NNP,compound,Xxxxx,0.0
Foresight Group,Group,2,1,5,Group,PROPN,NNP,ROOT,Xxxxx,0.0
Carbon Removal Partners,Carbon,3,1,6,Carbon,PROPN,NNP,compound,Xxxxx,0.0
Carbon Removal Partners,Removal,3,1,7,Removal,PROPN,NNP,compound,Xxxxx,0.0
Carbon Removal Partners,Partners,3,1,8,Partners,PROPN,NNPS,ROOT,Xxxxx,0.0
"Lightspeed Venture Partners, Westlake Village BioPartners",Lightspeed,6,1,10,Lightspeed,PROPN,NNP,compound,Xxxxx,0.0
"Lightspeed Venture Partners, Westlake Village BioPartners",Venture,6,1,7,Venture,PROPN,NNP,compound,Xxxxx,0.0
"Lightspeed Venture Partners, Westlake Village BioPartners",Partners,6,1,8,Partners,PROPN,NNPS,ROOT,Xxxxx,0.0
"Lightspeed Venture Partners, Westlake Village BioPartners",",",6,1,1,",",PUNCT,",",punct,",",0.0
"Lightspeed Venture Partners, Westlake Village BioPartners",Westlake,6,1,8,Westlake,PROPN,NNP,compound,Xxxxx,0.0
"Lightspeed Venture Partners, Westlake Village BioPartners",Village,6,1,7,Village,PROPN,NNP,compound,Xxxxx,0.0
"Lightspeed Venture Partners, Westlake Village BioPartners",BioPartners,6,1,11,BioPartners,PROPN,NNPS,appos,XxxXxxxx,0.0
"Casdin Capital, Transformation Capital",Casdin,4,1,6,Casdin,PROPN,NNP,compound,Xxxxx,0.0
"Casdin Capital, Transformation Capital",Capital,4,1,7,Capital,PROPN,NNP,ROOT,Xxxxx,0.0
"Casdin Capital, Transformation Capital",",",4,1,1,",",PUNCT,",",punct,",",0.0
"Casdin Capital, Transformation Capital",Transformation,4,1,14,Transformation,PROPN,NNP,compound,Xxxxx,0.0
"Casdin Capital, Transformation Capital",Capital,4,1,7,Capital,PROPN,NNP,appos,Xxxxx,0.0
Vertex Ventures Southeast Asia &amp; India,Vertex,6,1,6,Vertex,PROPN,NNP,compound,Xxxxx,0.0
