Text,Token,Count,Freq,Length,Lemma,PoS,Tag,Dep,Shape,Sentiment
$10B+,$,1,1000,1,$,SYM,$,nmod,$,0.0
$10B+,10B+,1,1000,4,10b+,NUM,CD,ROOT,ddX+,0.0
